transaction_id,customer_id,customer_age,customer_gender,date,day_of_week,time_slot,total_amount,payment_method,items_json
TXN-02-0000001,CUST1001,40,M,2024-03-28 18:17:00,Thu,Snacks,153,Card,"[{""itemName"":""Sandwich"",""quantity"":2,""price"":50,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Cold Coffee"",""quantity"":1,""price"":50,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-02-0000002,CUST1002,39,M,2024-06-12 13:18:00,Wed,Lunch,16,UPI,"[{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-02-0000003,CUST1003,29,F,2024-04-05 15:42:00,Fri,Lunch,129,Card,"[{""itemName"":""Brownie"",""quantity"":1,""price"":55,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-02-0000004,CUST1004,36,F,2024-04-02 19:51:00,Tue,Dinner,162,Cash,"[{""itemName"":""Paneer Curry+Roti"",""quantity"":1,""price"":90,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-02-0000005,CUST1005,32,F,2024-01-02 10:10:00,Tue,Breakfast,219,Card,"[{""itemName"":""Samosa"",""quantity"":1,""price"":15,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Veg Biryani"",""quantity"":2,""price"":100,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-02-0000006,CUST1006,42,M,2024-03-19 14:53:00,Tue,Lunch,35,Card,"[{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-02-0000007,CUST1007,37,M,2024-04-12 17:41:00,Fri,Snacks,50,Card,"[{""itemName"":""Maggi"",""quantity"":1,""price"":40,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Samosa"",""quantity"":1,""price"":15,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-02-0000008,CUST1008,35,F,2024-05-14 21:35:00,Tue,Dinner,177,UPI,"[{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-02-0000009,CUST1009,44,F,2024-02-26 07:48:00,Mon,Breakfast,160,Card,"[{""itemName"":""Cold Coffee"",""quantity"":2,""price"":50,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Lassi"",""quantity"":2,""price"":30,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-02-0000010,CUST1010,31,F,2024-01-16 16:45:00,Tue,Snacks,115,Card,"[{""itemName"":""Ice Cream"",""quantity"":1,""price"":45,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Sandwich"",""quantity"":1,""price"":50,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Samosa"",""quantity"":1,""price"":15,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-02-0000011,CUST1011,43,M,2024-06-24 18:07:00,Mon,Snacks,15,UPI,"[{""itemName"":""Samosa"",""quantity"":1,""price"":15,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-02-0000012,CUST1012,42,F,2024-05-12 12:14:00,Sun,Lunch,152,Wallet,"[{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Paneer Curry+Roti"",""quantity"":1,""price"":90,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-02-0000013,CUST1013,39,M,2024-05-23 15:25:00,Thu,Lunch,111,UPI,"[{""itemName"":""Paneer Curry+Roti"",""quantity"":1,""price"":90,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-02-0000014,CUST1014,44,M,2024-06-10 15:53:00,Mon,Lunch,147,Wallet,"[{""itemName"":""Cold Coffee"",""quantity"":2,""price"":50,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Cold Coffee"",""quantity"":1,""price"":50,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-02-0000015,CUST1015,46,M,2024-01-09 16:34:00,Tue,Snacks,105,UPI,"[{""itemName"":""Ice Cream"",""quantity"":1,""price"":45,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Cold Coffee"",""quantity"":1,""price"":50,""category"":""Beverages"",""isVegetarian"":true}]"
